Industry,Startup_Age,Funding_Amount,Number_of_Founders,Founder_Experience,Employees_Count,Revenue,Burn_Rate,Market_Size,Business_Model,Product_Uniqueness_Score,Customer_Retention_Rate,Marketing_Expense,failed,revenue_per_employee,burn_to_revenue_ratio,revenue_to_funding_ratio,marketing_efficiency,employees_per_founder,experience_per_founder,product_market_fit_score,profit_margin_proxy,funding_per_year
3,4.0,14131778.0,4.0,4.0,341.0,41922318.26681083,500000.0,2,1,3.0,32.00773653123513,45204378.16358204,0.0,122579.87797313108,0.011926821052475533,2.9665280122772106,0.927395067524446,68.2,0.8,96.02320959370539,41422318.26681083,2826355.6
7,4.0,32644882.0,2.0,28.0,809.0,75681257.19240475,500000.0,0,2,9.0,30.0,63067011.89649755,1.0,93433.65085482068,0.006606655490965123,2.318319143383199,1.2000133463845684,269.6666666666667,9.333333333333334,270.0,75181257.19240475,6528976.4
4,8.0,9512686.0,3.0,7.0,614.0,45647573.71209996,36764205.206002176,1,0,2.0,76.10944879588507,9873501.383031836,0.0,74223.69709284547,0.8053923004206609,4.7985993560074,4.623240258750315,153.5,1.75,152.21889759177014,8883368.506097786,1056965.111111111
6,1.0,28026790.0,2.0,8.0,203.0,56009553.69431751,65270308.79689794,2,1,7.0,59.552083340713445,14152076.155413993,0.0,274556.6357564584,1.165342398330476,1.998429063616934,3.95769137485875,67.66666666666667,2.6666666666666665,416.8645833849941,-9260755.102580428,14013395.0
6,5.0,39310929.0,2.0,4.0,647.0,59182118.181149416,128439124.73451804,1,0,7.0,48.48640430488459,30253955.39511736,0.0,91330.42929189725,2.1702353094417113,1.5054876132706454,1.9561778105392102,215.66666666666666,1.3333333333333333,339.40483013419214,-69257006.55336863,6551821.5
6,8.0,32892991.0,1.0,4.0,339.0,91884296.10284849,15908915.635917049,1,1,1.0,78.92167109567114,8755255.96962727,0.0,270247.9297142603,0.17314074480114688,2.793430774033827,10.494757198058595,169.5,2.0,78.92167109567114,75975380.46693143,3654776.777777778
6,4.0,35716928.0,4.0,10.0,399.0,29016921.21214833,48550278.96832669,2,1,2.0,50.31429977218849,15651479.905213416,0.0,72542.30303037082,1.6731712141407076,0.8124136655799363,1.8539409393831203,79.8,2.0,100.62859954437698,-19533357.756178357,7143385.6
7,3.0,17950121.0,2.0,23.0,902.0,41847768.425337926,29982817.25430455,0,1,1.0,35.70454451320292,500000.0,1.0,46343.043660396375,0.716473486306073,2.331336156118489,83.69536945993693,300.6666666666667,7.666666666666667,35.70454451320292,11864951.171033375,4487530.25
3,2.0,25657106.0,1.0,2.0,341.0,43265994.46904556,500000.0,2,2,7.0,65.31983816856501,50386363.38914693,1.0,126508.75575744316,0.011556419645024059,1.6863161723200342,0.8586845864665108,170.5,1.0,457.2388671799551,42765994.46904556,8552368.666666666
0,9.0,44351616.0,3.0,1.0,11.0,93488617.6943498,500000.0,0,0,4.0,30.0,500000.0,1.0,7790718.141195816,0.005348244598999714,2.1078964876150916,186.9768614349767,2.75,0.25,120.0,92988617.6943498,4435161.6
